x,y,z,SaliencyScore,Labels,EEGScore,NormalizedCombinedScore
-0.4719,-0.045,-0.4121,0.0,[],0.0,0.0
0.6901,-0.1295,0.0382,0.0,[],0.0,0.0
0.4327,-0.1778,-0.197,0.0,[],0.0,0.0
-0.2358,0.2222,-0.2424,0.0,[],0.0,0.0
-0.1928,-0.0751,-0.2665,0.0,[],0.0,0.0
-0.192,-0.0078,-0.0797,0.0,[],0.0,0.0
0.6607,-0.1778,0.1541,0.0,[],0.0,0.0
-0.3654,0.0222,-0.2465,0.0,[],0.0,0.0
-0.3489,-0.0672,-0.5036,0.0,[],0.0,0.0
0.6763,0.0222,0.0954,0.0,[],0.0,0.0
-0.0263,-0.1778,-0.3218,0.0,[],0.0,0.0
-0.513,0.106,-0.0903,0.0,[],0.0,0.0
0.2843,0.2057,-0.4885,0.0,[],0.0,0.0
-0.6219,0.0222,-0.0634,0.0,[],0.0,0.0
0.471,0.0686,-0.1525,0.0,[],0.0,0.0
0.2968,0.0084,-0.5856,0.0,[],0.0,0.0
0.1774,-0.073,-0.1376,0.0,[],0.0,0.0
-0.0216,-0.0289,-0.1966,0.0,[],0.0,0.0
0.2886,-0.1778,-0.1624,0.0,[],0.0,0.0
-0.6264,-0.1778,0.2252,0.0,[],0.0,0.0
-0.32,-0.1778,0.0997,0.0,[],0.0,0.0
-0.6674,-0.142,-0.0917,0.0,[],0.0,0.0
-0.3818,0.0222,-0.1212,0.0,[],0.0,0.0
-0.0634,0.1083,-0.0873,2.3796932127121027,"['Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention']",10.0,0.07304923622336132
0.4138,0.0222,-0.2364,0.0,[],0.0,0.0
0.1813,-0.1778,-0.1744,0.0,[],0.0,0.0
-0.2642,-0.0373,-0.5452,0.0,[],0.0,0.0
0.4937,-0.1778,-0.3258,0.0,[],0.0,0.0
-0.5676,0.0222,0.0869,0.0,[],0.0,0.0
-0.4141,-0.1778,0.1767,0.0,[],0.0,0.0
0.1966,-0.1778,-0.4733,0.0,[],0.0,0.0
0.527,-0.1778,-0.2024,0.0,[],0.0,0.0
-0.3593,-0.0213,-0.4975,0.0,[],0.0,0.0
0.1518,-0.166,-0.1551,0.0,[],0.0,0.0
0.2132,-0.1778,-0.3282,0.0,[],0.0,0.0
-0.1934,0.0222,-0.1517,0.0,[],0.0,0.0
0.1841,-0.1377,-0.5727,0.0,[],0.0,0.0
-0.5321,0.0091,0.5386,0.0,[],0.0,0.0
-0.4673,-0.1778,-0.1546,0.0,[],0.0,0.0
0.0379,0.0222,-0.5638,0.0,[],0.0,0.0
0.2811,0.208,-0.538,0.0,[],0.0,0.0
0.4935,0.0222,0.0324,0.0,[],0.0,0.0
-0.0047,0.2222,-0.4066,0.0,[],0.0,0.0
0.0367,0.12,-0.5967,0.0,[],0.0,0.0
0.2367,0.2062,-0.5557,0.0,[],0.0,0.0
-0.4266,0.096,-0.4516,0.0,[],0.0,0.0
0.0277,0.0909,-0.5972,0.0,[],0.0,0.0
-0.4421,-0.1778,-0.3974,0.0,[],0.0,0.0
0.2891,-0.1464,0.1359,0.0,[],0.0,0.0
-0.3702,0.0222,-0.269,0.0,[],0.0,0.0
-0.6782,-0.0542,-0.0473,0.0,[],0.0,0.0
-0.2528,-0.0078,-0.0175,0.1875527327271023,['Attention'],1.0,0.0005757289975082411
-0.2212,-0.1778,-0.2355,0.0,[],0.0,0.0
-0.381,0.0952,-0.5201,0.0,[],0.0,0.0
0.2477,0.1524,-0.5518,1.502636636355114,"['Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention']",6.0,0.027675783925579848
-0.701,0.0222,0.1258,0.0,[],0.0,0.0
-0.3287,-0.0108,-0.0087,0.0,[],0.0,0.0
-0.4695,0.1252,-0.3415,0.0,[],0.0,0.0
-0.2146,0.0222,-0.1827,0.0,[],0.0,0.0
-0.3168,0.0018,-0.5219,0.0,[],0.0,0.0
0.6918,-0.0455,0.1183,0.0,[],0.0,0.0
0.199,-0.1778,-0.448,0.0,[],0.0,0.0
0.0703,0.1736,-0.1891,0.0,[],0.0,0.0
-0.5737,0.0222,0.4374,0.0,[],0.0,0.0
-0.4421,0.1155,-0.0589,0.31326462454298304,['Attention'],1.0,0.0009616257018518233
-0.2124,0.0052,-0.1068,0.0,[],0.0,0.0
0.2539,-0.1778,-0.1864,0.0,[],0.0,0.0
-0.4416,0.1252,-0.2819,0.0,[],0.0,0.0
0.3087,0.2222,-0.4918,0.0,[],0.0,0.0
0.3457,0.2222,-0.3089,0.0,[],0.0,0.0
0.2908,0.0222,0.172,0.0,[],0.0,0.0
-0.2234,0.1364,-0.324,0.0,[],0.0,0.0
0.2916,-0.0861,0.0751,0.0,[],0.0,0.0
-0.6772,0.0952,-0.1649,0.0,[],0.0,0.0
0.0102,-0.1478,-0.5977,0.0,[],0.0,0.0
-0.0468,0.1195,-0.194,0.5008964563607388,"['Attention', 'Attention']",2.0,0.0030751950183056554
-0.1481,0.1946,-0.5816,0.0,[],0.0,0.0
-0.6397,-0.0894,-0.1716,0.0,[],0.0,0.0
-0.0275,-0.0078,-0.1643,0.0,[],0.0,0.0
-0.5863,-0.1208,-0.1228,0.0,[],0.0,0.0
0.5391,-0.0022,0.2535,0.0,[],0.0,0.0
-0.2285,-0.1778,-0.3891,0.0,[],0.0,0.0
-0.4504,0.0222,-0.2973,0.0,[],0.0,0.0
-0.1546,0.0115,0.2844,0.0,[],0.0,0.0
0.0675,-0.1778,-0.5022,0.0,[],0.0,0.0
0.2346,0.0001,0.1552,0.0,[],0.0,0.0
0.1319,0.2038,-0.6356,0.0,[],0.0,0.0
0.0568,-0.1778,-0.2874,0.0,[],0.0,0.0
0.542,0.0222,-0.396,0.0,[],0.0,0.0
-0.4871,-0.0298,-0.3977,0.0,[],0.0,0.0
-0.6882,-0.0024,-0.1862,0.0,[],0.0,0.0
0.1785,0.2222,-0.5525,0.0,[],0.0,0.0
0.1148,-0.1778,-0.3165,0.0,[],0.0,0.0
-0.1907,0.1922,-0.2073,0.0,[],0.0,0.0
0.2988,-0.0751,0.1829,0.31772053998312555,['Attention'],1.0,0.0009753039868441699
0.1693,-0.1778,-0.3594,0.0,[],0.0,0.0
0.2808,-0.103,0.1763,0.0,[],0.0,0.0
-0.2309,-0.1778,-0.498,0.0,[],0.0,0.0
-0.6892,-0.123,0.0232,0.0,[],0.0,0.0
-0.4609,-0.0038,0.6118,0.0,[],0.0,0.0
-0.5689,-0.1778,-0.2075,0.0,[],0.0,0.0
-0.5583,0.0222,-0.1017,0.0,[],0.0,0.0
-0.3854,0.0222,-0.3228,0.0,[],0.0,0.0
-0.5859,0.0011,-0.2752,0.0,[],0.0,0.0
-0.4386,-0.1778,-0.135,0.0,[],0.0,0.0
-0.6829,-0.0705,0.2121,0.0,[],0.0,0.0
0.1656,-0.1177,-0.1461,0.5008437236336365,"['Attention', 'Attention']",2.0,0.0030748712719153044
-0.1609,0.2182,-0.2065,0.0,[],0.0,0.0
0.0649,-0.1744,-0.5949,0.0,[],0.0,0.0
0.2728,0.003,0.2273,0.0,[],0.0,0.0
-0.5769,0.0127,0.4787,0.0,[],0.0,0.0
0.6807,-0.0141,-0.0306,0.0,[],0.0,0.0
-0.2307,0.0001,-0.558,0.0,[],0.0,0.0
-0.2243,0.0222,-0.411,0.0,[],0.0,0.0
-0.418,0.0222,0.3769,0.0,[],0.0,0.0
0.4995,-0.1778,-0.3227,0.0,[],0.0,0.0
0.2409,-0.1778,-0.2905,0.0,[],0.0,0.0
-0.2521,0.0222,0.3371,0.0,[],0.0,0.0
0.3776,0.0222,-0.445,0.0,[],0.0,0.0
0.1924,-0.1026,-0.5703,0.0,[],0.0,0.0
0.0029,-0.0287,-0.5975,0.0,[],0.0,0.0
-0.2557,-0.1008,0.3429,0.8767401799943753,"['Attention', 'Attention', 'Attention', 'Attention']",4.0,0.01076528691560708
-0.5446,-0.1256,0.5233,0.8766610809037219,"['Attention', 'Attention', 'Attention', 'Rejection']",2.0,0.005382157838218013
0.1683,0.1942,-0.0793,0.0,[],0.0,0.0
-0.1389,0.1252,-0.2092,0.0,[],0.0,0.0
-0.6904,-0.0055,0.1504,0.0,[],0.0,0.0
-0.0658,0.2202,-0.5944,0.0,[],0.0,0.0
0.4127,-0.1778,0.0077,0.0,[],0.0,0.0
0.6196,-0.0977,-0.2132,0.0,[],0.0,0.0
0.3726,0.1996,-0.3641,0.0,[],0.0,0.0
-0.1221,0.0245,-0.1082,5.326447806318552,"['Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Rejection', 'Attention', 'Attention', 'Attention', 'Rejection', 'Attention', 'Attention', 'Attention', 'Neutral', 'Attention', 'Neutral', 'Neutral', 'Rejection', 'Attention']",10.0,0.16350550648994155
0.217,0.0222,-0.211,0.0,[],0.0,0.0
-0.5865,0.0222,0.1061,0.0,[],0.0,0.0
0.1751,0.1922,-0.1377,0.0,[],0.0,0.0
-0.1318,-0.1778,-0.5388,0.0,[],0.0,0.0
-0.3496,0.1252,0.0331,0.0,[],0.0,0.0
-0.3935,-0.0708,-0.4753,0.0,[],0.0,0.0
0.527,0.0222,-0.2959,0.0,[],0.0,0.0
-0.2487,0.0427,0.0268,0.814187447267273,"['Rejection', 'Attention', 'Attention']",1.0,0.0024993041476022394
