x,y,z,SaliencyScore,NormalizedScore
-0.305,0.0391,-0.6825,0.0,0.0
0.3574,-0.0017,-0.1836,0.0,0.0
0.0316,-0.0441,-0.23,0.0,0.0
-0.0697,0.07,-0.6811,0.0,0.0
0.2735,-0.1325,-0.0916,0.0,0.0
-0.3021,-0.0225,0.3387,0.0,0.0
0.0475,-0.0654,-0.3531,0.0,0.0
0.3718,-0.035,-0.351,0.0,0.0
-0.2393,0.1982,-0.3399,0.0,0.0
-0.4796,-0.0325,0.3894,0.7584086799276675,0.04705935155938802
0.0717,0.0475,0.5326,0.5099457504520797,0.03164219632748551
0.0372,0.1785,-0.0637,0.0,0.0
-0.2779,-0.0008,-0.0673,0.0,0.0
-0.4967,0.0878,-0.3562,1.268354430379747,0.07870154788687352
0.148,-0.0225,-0.1811,0.0,0.0
0.0221,-0.2325,-0.4541,0.0,0.0
0.2895,0.2008,-0.3073,0.0,0.0
0.3655,0.0688,0.4259,0.2541591320072333,0.01577060529726272
0.3588,-0.0225,0.6494,0.0,0.0
0.2728,0.1823,-0.0261,0.0,0.0
-0.4769,-0.2325,0.0007,1.787251356238698,0.11089916574563935
-0.4335,0.0365,-0.0443,0.0,0.0
-0.271,0.077,0.1681,1.324502712477396,0.08218555567399559
0.3571,-0.0698,-0.4145,0.0,0.0
0.4526,0.2002,-0.1926,0.0,0.0
-0.096,-0.012,-0.6194,0.0,0.0
0.1869,-0.2325,-0.1925,0.0,0.0
-0.1754,0.0434,-0.0176,3.464828209764919,0.21499301515347022
-0.2573,0.1633,-0.608,0.0,0.0
-0.0544,-0.0325,-0.1813,0.0,0.0
0.2274,-0.0502,-0.2581,0.0,0.0
-0.2224,0.1238,-0.6566,0.0,0.0
-0.4528,0.2308,-0.3086,0.0,0.0
-0.5403,0.2022,-0.2759,0.0,0.0
0.474,-0.2325,0.3114,0.0,0.0
-0.2327,-0.0225,0.6532,0.0,0.0
0.3029,-0.1646,0.4344,0.0,0.0
0.3194,-0.2325,-0.121,0.0,0.0
0.3041,0.0494,-0.6528,0.0,0.0
-0.1882,0.052,0.5143,0.0,0.0
0.4793,0.0289,0.2117,0.0,0.0
-0.1779,-0.0325,0.1599,0.0,0.0
0.2389,0.2269,-0.1582,2.8793851717902355,0.1786662028803375
0.4447,0.2324,-0.2399,0.0,0.0
-0.2518,-0.2325,0.0529,0.0,0.0
0.2855,0.0474,-0.0014,0.0,0.0
0.1335,0.1936,-0.3792,0.0,0.0
-0.4011,-0.0222,-0.2707,0.0,0.0
0.184,0.0153,-0.1215,0.0,0.0
0.1502,-0.1197,0.4914,0.0,0.0
-0.1507,-0.0386,-0.3919,0.0,0.0
0.0919,0.1862,-0.0201,0.4287522603978301,0.026604130316478063
-0.1835,-0.0225,0.0495,0.0,0.0
0.0673,0.0806,0.2195,0.0,0.0
0.4793,0.0809,-0.0481,0.5935804701627487,0.03683174093793304
0.2025,-0.02,-0.2602,0.0,0.0
0.1041,-0.2325,0.0047,0.0,0.0
0.5396,0.1804,-0.0714,0.0,0.0
0.1913,-0.0097,-0.2153,0.0,0.0
-0.2134,0.0754,0.3762,0.8305605786618446,0.051536385720617355
-0.0253,-0.0399,-0.474,0.0,0.0
0.4793,0.0236,-0.5763,0.0,0.0
-0.5435,-0.1137,0.1434,0.6755877034358049,0.04192029981542052
-0.4937,-0.2325,0.3136,0.0,0.0
-0.3065,-0.1325,0.3989,0.0,0.0
0.4793,-0.018,-0.4946,0.0,0.0
-0.4967,0.061,-0.3828,0.0,0.0
-0.355,-0.0325,-0.0598,0.0,0.0
-0.5151,0.2078,-0.0572,0.5107594936708861,0.031692689193965534
-0.3779,-0.0225,0.2712,0.0,0.0
0.0663,0.081,0.2309,0.0,0.0
-0.3214,0.1793,-0.574,0.0,0.0
0.4793,-0.0189,-0.0282,0.0,0.0
-0.4972,0.0261,0.0394,0.617359855334539,0.03830725470284947
0.2116,0.2007,-0.3091,0.0,0.0
0.3164,0.0472,-0.0022,0.7286618444846293,0.045213556773618026
-0.0876,0.0474,-0.6529,0.0,0.0
0.4793,0.1539,-0.1604,0.0,0.0
0.184,-0.0618,-0.3246,0.0,0.0
0.4345,-0.1507,0.4344,0.0,0.0
0.1928,-0.0325,0.0795,0.0,0.0
0.186,0.1076,-0.6309,0.0,0.0
-0.286,-0.0225,0.1912,0.0,0.0
0.3022,-0.1325,0.4192,0.0,0.0
-0.1706,-0.1325,-0.0504,0.0,0.0
-0.5359,-0.07,0.5572,0.0,0.0
-0.0415,-0.2325,-0.1455,1.0,0.06205012258545916
0.2114,0.0385,0.5663,0.0,0.0
0.4299,0.0057,-0.1562,0.0,0.0
0.5432,0.1783,-0.0633,0.0,0.0
-0.014,-0.2325,-0.1295,0.0,0.0
-0.2869,-0.2325,-0.1399,0.0,0.0
0.1942,0.2017,-0.2192,0.0,0.0
-0.0396,-0.1746,-0.2927,0.0,0.0
-0.0795,-0.0057,-0.1992,0.0,0.0
-0.4967,-0.0252,-0.0234,2.264828209764919,0.14053286805091922
0.3617,0.2017,-0.2183,0.0,0.0
-0.4966,-0.0559,0.6121,0.0,0.0
-0.3299,-0.0225,-0.0133,0.0,0.0
-0.1143,0.1784,-0.4665,0.0,0.0
0.4768,-0.035,-0.3515,0.0,0.0
0.4679,0.2024,-0.2511,0.0,0.0
0.4711,-0.1199,0.4903,0.0,0.0
0.2939,0.0665,-0.6511,0.0,0.0
0.2264,-0.2325,-0.4024,0.0,0.0
0.2299,0.1811,-0.0738,0.0,0.0
-0.4967,0.1333,-0.405,0.0,0.0
0.3181,-0.2325,0.1346,0.0,0.0
-0.417,-0.1325,0.3853,0.0,0.0
-0.4967,0.0471,0.4226,0.0,0.0
-0.2046,0.2011,-0.3007,0.0,0.0
0.4793,0.0677,-0.4804,0.0,0.0
-0.0178,0.107,-0.6314,0.0,0.0
0.4746,0.0724,0.1284,0.2452079566003617,0.015215183765982392
-0.3775,0.2172,-0.0978,0.0,0.0
-0.0751,-0.0426,0.6752,2.276853526220615,0.1412790404111241
-0.079,-0.0699,-0.4731,0.0,0.0
0.1556,0.2005,-0.3111,0.0,0.0
-0.2219,-0.1325,0.3161,0.0,0.0
0.0926,-0.2325,-0.3526,0.0,0.0
-0.2034,-0.0325,0.5184,0.0,0.0
0.2587,-0.0225,-0.1807,0.0,0.0
-0.3533,0.1988,-0.3341,0.0,0.0
0.4908,0.2294,-0.3271,0.0,0.0
-0.4967,-0.0135,-0.5276,0.0,0.0
0.2039,-0.0376,-0.5179,0.0,0.0
-0.3079,0.0812,0.2904,0.0,0.0
0.4793,0.019,-0.5158,0.0,0.0
-0.2607,0.0749,0.3804,0.0,0.0
0.2273,-0.0325,0.2623,0.0,0.0
0.0674,0.0034,-0.6374,0.0,0.0
0.0145,-0.1456,-0.4682,0.8632007233273058,0.05356171069831634
-0.4115,0.0931,-0.0261,0.5952079566003617,0.0369327266708931
-0.1297,0.1713,-0.4979,0.0,0.0
-0.1106,0.0553,-0.6526,0.0,0.0
0.3659,-0.0205,-0.6031,0.0,0.0
0.313,0.1967,-0.1588,0.0,0.0
-0.514,0.0324,0.0704,0.24846292947558773,0.015417155231902513
-0.3765,-0.1325,0.2273,0.0,0.0
0.5123,-0.1025,0.1643,0.0,0.0
-0.1977,-0.2325,-0.3169,0.0,0.0
-0.3459,-0.0397,-0.4809,0.0,0.0
0.2913,-0.0325,-0.1296,0.0,0.0
-0.1843,-0.1811,-0.3126,0.0,0.0
-0.3622,0.2067,-0.0532,0.0,0.0
-0.1632,-0.0225,0.0875,0.0,0.0
-0.2378,-0.2325,-0.3573,0.0,0.0
-0.3559,-0.1325,-0.0276,0.0,0.0
0.3154,0.1571,-0.0261,0.0,0.0
0.3245,0.1864,-0.097,0.0,0.0
-0.3145,-0.0325,-0.1737,0.0,0.0
0.1017,0.081,0.2979,0.0,0.0
0.2771,-0.1325,0.0548,0.0,0.0
0.049,-0.0001,-0.1777,0.0,0.0
-0.5387,0.0792,0.1954,0.0,0.0
-0.1731,0.1479,-0.0261,0.0,0.0
0.2257,-0.2319,-0.4682,0.0,0.0
-0.2258,0.202,-0.2791,0.0,0.0
0.2679,-0.2325,-0.3563,0.0,0.0
-0.4948,0.2019,-0.2233,0.0,0.0
-0.4081,-0.2325,0.0872,0.0,0.0
0.4737,0.0307,-0.0659,0.0,0.0
0.4793,0.1417,-0.2414,0.0,0.0
0.0042,-0.0694,-0.4886,0.0,0.0
0.0823,-0.0325,0.0084,0.0,0.0
-0.4967,0.019,-0.0733,0.0,0.0
-0.0715,-0.0225,0.2127,0.0,0.0
0.0665,-0.2117,0.4345,0.0,0.0
-0.166,-0.0402,-0.4319,0.0,0.0
-0.1318,-0.0225,0.6489,0.0,0.0
-0.4017,-0.0326,-0.1834,0.0,0.0
0.3818,-0.0504,-0.2589,0.0,0.0
-0.4434,0.155,-0.5532,0.0,0.0
0.4345,-0.0225,-0.1073,0.0,0.0
0.4793,-0.0666,0.4997,0.0,0.0
0.031,0.025,-0.0866,0.0,0.0
-0.1999,-0.0325,-0.0905,0.0,0.0
0.5435,0.2001,-0.3593,0.0,0.0
-0.2979,0.1987,-0.1767,0.0,0.0
0.0309,0.1878,-0.1041,0.0,0.0
0.4793,-0.186,0.1019,0.0,0.0
-0.2978,-0.0325,0.5212,0.0,0.0
0.2894,-0.0206,-0.1386,0.0,0.0
-0.28,0.2317,-0.2909,0.0,0.0
0.4348,-0.0225,-0.0336,0.0,0.0
0.3324,0.1826,-0.08,0.0,0.0
0.4519,-0.2325,-0.2137,0.0,0.0
-0.4234,-0.2008,-0.4694,0.0,0.0
-0.1091,0.1903,-0.4021,0.0,0.0
0.2179,-0.0384,-0.5056,0.0,0.0
0.4711,-0.1325,-0.002,0.0,0.0
0.3025,0.075,0.1495,0.4116636528028933,0.025543780120397427
0.4309,-0.2325,0.0536,0.0,0.0
-0.2845,-0.1624,-0.2553,0.0,0.0
-0.2785,-0.0225,0.0986,0.0,0.0
-0.3464,-0.0225,0.664,0.0,0.0
0.4194,-0.1153,-0.4676,0.0,0.0
-0.1903,-0.2325,-0.4539,0.0,0.0
0.2622,-0.0225,0.2461,0.0,0.0
0.4024,-0.2325,-0.4023,0.0,0.0
0.0245,-0.0402,-0.4357,0.0,0.0
-0.0173,-0.0225,0.2262,0.0,0.0
-0.3843,-0.0225,-0.0766,0.0,0.0
-0.4318,-0.0225,0.0249,0.0,0.0
-0.0211,-0.0225,-0.0407,0.0,0.0
-0.1568,0.2003,-0.3141,0.0,0.0
-0.0682,0.1787,-0.5758,0.0,0.0
0.409,-0.0324,-0.3302,0.0,0.0
0.2414,0.232,-0.2293,0.0,0.0
0.3781,0.0754,0.1531,0.0,0.0
-0.0786,0.0617,0.4679,0.27124773960217,0.016830955493343354
0.3355,0.1324,-0.6016,0.0,0.0
-0.1239,0.2313,-0.2102,0.0,0.0
-0.3838,-0.099,0.5652,0.0,0.0
-0.0238,-0.2325,-0.4646,0.0,0.0
0.4611,-0.0667,-0.5292,0.0,0.0
-0.5151,-0.068,-0.3808,0.0,0.0
0.4793,-0.0686,-0.2239,0.0,0.0
-0.3643,-0.1325,0.2967,0.0,0.0
-0.3476,0.033,-0.0574,0.0,0.0
0.4793,-0.0592,-0.3701,0.0,0.0
0.2725,0.2265,-0.3575,0.0,0.0
0.2523,0.0602,0.0559,0.0,0.0
0.2703,0.0537,0.5065,0.0,0.0
0.1086,-0.0262,-0.5859,0.0,0.0
-0.2672,-0.0325,-0.0381,0.0,0.0
-0.4077,0.2321,-0.2797,0.0,0.0
0.4793,-0.0416,-0.6045,0.0,0.0
0.0273,0.1732,-0.0446,0.49611211573236896,0.030783817597324993
-0.4967,-0.1277,0.2349,3.0523508137432196,0.18939874216659278
0.2357,-0.0225,0.0056,0.0,0.0
0.1419,0.1722,-0.4939,0.0,0.0
-0.2258,-0.1113,-0.4675,0.0,0.0
0.3787,-0.2301,-0.47,0.0,0.0
0.0225,-0.0325,-0.0703,0.0,0.0
-0.2759,-0.0325,0.3144,0.0,0.0
-0.2908,-0.1406,0.4345,0.0,0.0
0.4793,-0.1693,-0.0209,0.0,0.0
0.1744,0.1986,-0.1759,0.0,0.0
0.3161,-0.0225,0.2115,0.0,0.0
0.3429,-0.0636,-0.4665,0.0,0.0
0.4793,-0.1513,0.1918,0.0,0.0
-0.0413,-0.0325,0.1182,0.0,0.0
-0.3077,-0.2325,0.2653,0.0,0.0
0.2842,0.0258,0.6055,0.0,0.0
0.4793,-0.0828,0.5095,0.0,0.0
0.3677,-0.2325,-0.3443,0.0,0.0
-0.4025,0.1999,-0.1889,0.0,0.0
0.1397,-0.2325,0.0667,0.0,0.0
-0.424,0.1985,-0.3374,0.0,0.0
-0.3248,0.1936,-0.5314,0.0,0.0
0.3635,0.2011,-0.2076,0.0,0.0
0.062,-0.0051,-0.6293,0.0,0.0
-0.3893,-0.0059,-0.2001,0.0,0.0
-0.2184,0.0302,0.5929,0.0,0.0
-0.2331,0.151,-0.5637,0.0,0.0
0.4793,-0.0369,0.3917,0.35180831826401454,0.021829749274866334
0.1367,-0.1325,0.265,0.0,0.0
0.3238,0.1978,-0.0226,0.0,0.0
-0.2733,0.2266,-0.3565,0.0,0.0
-0.2152,-0.0902,-0.4671,0.0,0.0
-0.2905,0.1851,-0.0912,0.0,0.0
0.3212,0.2226,-0.127,0.0,0.0
-0.2471,-0.0356,-0.5378,0.0,0.0
-0.1203,-0.0375,-0.5181,0.0,0.0
0.2983,0.2307,-0.2001,0.0,0.0
0.0117,0.0814,0.2436,0.0,0.0
0.3414,-0.2325,-0.1987,0.0,0.0
-0.3038,-0.2325,-0.1385,0.0,0.0
0.521,-0.1325,0.3804,0.0,0.0
-0.4914,-0.0225,0.1587,0.0,0.0
0.2612,-0.0225,0.45,0.0,0.0
-0.2823,-0.2325,0.2521,0.0,0.0
0.0566,-0.0225,0.1301,0.0,0.0
-0.156,0.0075,-0.1497,0.0,0.0
0.272,-0.0177,-0.2492,0.0,0.0
0.1692,-0.2325,0.07,0.0,0.0
-0.217,0.0761,0.369,0.0,0.0
0.4964,-0.1325,0.3783,0.0,0.0
0.2127,-0.1968,-0.3609,0.0,0.0
-0.195,0.0831,-0.6462,0.0,0.0
-0.1139,0.1404,-0.5872,0.0,0.0
-0.1273,-0.1325,0.0934,0.0,0.0
0.4448,-0.0225,0.0772,0.0,0.0
-0.2582,-0.0386,-0.5038,0.0,0.0
-0.1167,-0.0178,-0.1286,0.0,0.0
-0.5435,-0.034,-0.2863,0.0,0.0
-0.2199,0.2302,-0.1922,0.0,0.0
0.0527,0.1718,-0.0398,0.91998191681736,0.05708499071492287
-0.4787,-0.039,0.6789,0.0,0.0
0.2256,-0.2325,-0.3679,0.0,0.0
0.1006,-0.2325,-0.2344,0.0,0.0
0.3239,-0.1325,-0.1458,0.0,0.0
0.4793,-0.0444,0.0459,0.0,0.0
-0.2122,-0.0374,-0.5197,0.0,0.0
0.2747,-0.2325,-0.2545,0.0,0.0
0.0768,-0.0392,-0.4007,0.0,0.0
0.3436,0.1166,-0.6224,0.0,0.0
-0.3099,0.1977,-0.1673,0.0,0.0
0.5287,0.0096,0.5584,0.0,0.0
-0.1427,-0.0325,0.5709,0.0,0.0
-0.0301,-0.2282,0.4345,0.0,0.0
-0.2864,-0.0225,0.5062,0.0,0.0
0.2224,-0.1325,0.3652,0.0,0.0
-0.4445,-0.0225,0.6764,0.0,0.0
0.3006,-0.0642,-0.342,0.0,0.0
-0.22,-0.0225,0.5225,0.0,0.0
0.2132,-0.0703,-0.4519,0.0,0.0
-0.0079,-0.2325,0.3389,0.0,0.0
-0.2733,0.2305,-0.3132,0.0,0.0
0.1789,-0.0225,0.5582,0.0,0.0
0.4362,-0.0225,-0.0834,0.0,0.0
0.415,-0.2325,0.3054,0.0,0.0
0.3359,-0.0225,0.6333,0.0,0.0
-0.0723,0.0729,0.132,0.0,0.0
-0.3422,-0.1325,0.1238,0.0,0.0
0.3879,-0.0043,0.6664,0.7632911392405065,0.047362308758268204
0.5412,-0.1025,0.3393,0.43282097649186263,0.026856594648878213
0.1874,-0.1325,0.4304,0.0,0.0
-0.0486,0.1866,-0.4244,0.0,0.0
0.4141,-0.0668,-0.528,0.0,0.0
-0.1194,-0.1325,0.0334,0.0,0.0
0.526,0.0711,0.4102,0.25009041591320075,0.015518140964862571
-0.4616,-0.0305,-0.5699,0.0,0.0
0.2463,-0.2325,0.2614,0.0,0.0
-0.3159,-0.0361,-0.534,0.0,0.0
-0.426,-0.1755,-0.2955,0.0,0.0
-0.5106,0.2296,-0.3261,0.0,0.0
-0.4077,-0.0325,-0.1511,0.0,0.0
0.2996,-0.1766,-0.299,0.0,0.0
0.2867,-0.0199,0.6767,0.0,0.0
-0.2296,-0.0225,0.1097,0.0,0.0
0.4645,0.0624,-0.0261,5.258770343580471,0.3263073444679454
