x,y,z,SaliencyScore,NormalizedScore
0.4709,-0.0667,0.0539,0.3440636898580824,0.017619427457236547
0.0208,-0.005,0.6141,0.0,0.0
-0.477,-0.0362,-0.0407,0.0,0.0
0.1024,0.005,-0.5312,0.0,0.0
-0.3256,0.005,0.5082,0.0,0.0
0.0438,-0.005,0.1833,0.0,0.0
-0.7735,-0.005,0.5192,0.0,0.0
0.3945,-0.205,-0.1173,0.0,0.0
-0.7933,0.205,0.3588,0.0,0.0
0.255,0.1615,0.3383,0.0,0.0
-0.8207,0.205,0.5873,0.0,0.0
-0.6783,0.205,0.4934,0.22637590861889928,0.011592661526189842
0.1921,0.205,-0.3574,0.0,0.0
-0.412,-0.205,0.5282,0.0,0.0
0.0004,0.005,0.3856,0.0,0.0
0.2064,0.205,-0.4643,0.0,0.0
-0.1395,-0.005,0.4622,0.0,0.0
-0.0235,0.005,-0.0735,0.0,0.0
-0.0551,0.1755,0.7422,0.0,0.0
-0.4406,0.1752,0.2855,0.0,0.0
-0.2885,0.005,0.4413,0.0,0.0
0.7109,0.005,-0.2524,0.8006230529595015,0.04099973411326774
-0.243,0.205,0.3901,0.0,0.0
0.6962,-0.205,-0.2057,0.0,0.0
-0.0413,0.205,0.1104,0.22914503288335064,0.01173446778339094
-0.0121,-0.205,-0.0539,0.0,0.0
-0.0561,0.205,0.4069,0.0,0.0
-0.0906,-0.005,-0.3008,0.0,0.0
0.4136,0.215,-0.384,0.0,0.0
-0.3839,0.205,0.6647,0.0,0.0
-0.13,-0.005,-0.1176,0.0,0.0
-0.21,0.005,0.6221,0.0,0.0
-0.3318,0.005,0.5333,0.0,0.0
-0.0658,-0.005,0.5492,0.0,0.0
-0.1462,0.215,0.4991,0.0,0.0
-0.4725,-0.005,0.1483,1.9352717203184495,0.09910484800141806
-0.4768,-0.205,0.4432,0.34510211145725167,0.017672604803686962
0.529,-0.1716,0.0765,0.0,0.0
-0.0182,0.215,-0.2295,0.0,0.0
0.1367,-0.205,-0.3511,0.0,0.0
-0.3173,0.205,0.3565,0.0,0.0
-0.5958,0.005,0.6004,0.0,0.0
-0.2205,0.005,0.0924,0.0,0.0
-0.4716,0.005,0.5514,0.0,0.0
-0.1029,0.1553,-0.2039,0.0,0.0
0.0131,0.005,0.1406,0.0,0.0
-0.0932,0.005,0.1173,0.0,0.0
0.649,-0.0641,-0.0973,0.22256836275527864,0.01139767792253833
-0.024,0.215,0.044,0.33714087919695396,0.0172649118142338
0.4066,0.0114,-0.369,0.6967808930425753,0.03568199946822653
0.309,0.205,-0.3639,0.0,0.0
-0.2696,0.205,0.5965,0.0,0.0
0.2167,-0.205,-0.1677,0.0,0.0
-0.5495,-0.005,0.6094,0.0,0.0
0.0806,0.215,-0.1297,0.0,0.0
0.0852,-0.005,0.3707,0.0,0.0
0.312,0.0667,0.439,1.0228452751817239,0.05237968625365594
-0.3133,-0.205,-0.1427,0.0,0.0
-0.5775,0.0119,0.7421,0.0,0.0
0.4762,-0.0305,0.0575,0.3440636898580824,0.017619427457236547
-0.274,-0.1032,0.7421,0.45586708203530635,0.02334485509173092
0.3217,-0.1446,-0.0297,4.191761855313257,0.21465922183816358
-0.6505,0.0973,0.3381,0.0,0.0
-0.3371,0.205,0.2273,0.3007961232260298,0.015403704688469378
-0.2179,-0.005,0.1153,0.0,0.0
0.0943,-0.205,-0.6864,0.0,0.0
-0.3887,0.215,0.2533,0.0,0.0
-0.477,-0.022,0.533,0.0,0.0
-0.3461,0.005,-0.1853,0.0,0.0
-0.0802,0.005,-0.0327,0.0,0.0
0.5708,-0.1575,-0.3679,0.9113880235375562,0.0466719844013117
-0.1493,0.205,0.6905,0.0,0.0
-0.4276,-0.205,0.422,0.0,0.0
-0.4467,-0.005,0.6193,0.0,0.0
-0.779,0.1081,0.3536,0.0,0.0
0.0784,0.215,0.7343,0.0,0.0
-0.0586,-0.005,-0.0188,0.0,0.0
-0.4766,-0.005,0.5479,0.0,0.0
0.0497,-0.205,0.417,0.0,0.0
0.2546,-0.205,-0.3469,0.0,0.0
0.0877,0.0022,0.7414,0.23572170301142265,0.012071257644243551
-0.1179,0.0628,-0.1821,0.0,0.0
0.3119,0.0575,0.5181,3.6278989269643476,0.1857839227155898
0.2262,-0.1436,-0.6058,0.0,0.0
0.4903,0.005,-0.1969,0.0,0.0
-0.1645,0.005,0.3656,0.0,0.0
-0.1118,-0.005,-0.4067,0.0,0.0
-0.089,-0.1543,-0.6108,0.0,0.0
0.4624,-0.0259,-0.4427,0.2232606438213915,0.011433129486838606
-0.1908,0.215,0.0649,0.0,0.0
0.0877,-0.1444,0.7108,0.0,0.0
-0.4563,0.005,0.396,0.0,0.0
0.4441,0.138,-0.4554,0.0,0.0
0.0998,0.205,0.4423,0.0,0.0
0.6005,-0.0694,-0.027,1.701973001038422,0.08715767083222548
0.5645,-0.005,0.0642,0.0,0.0
-0.0072,0.215,0.1929,0.9141571478020076,0.0468137906585128
0.1224,0.005,0.4017,0.5770162686050537,0.029548878844279005
0.7443,0.005,-0.1955,0.4579439252336449,0.023451209784631746
0.0561,0.005,0.2856,0.0,0.0
-0.4243,0.005,0.5872,0.0,0.0
0.0524,-0.205,-0.1406,0.0,0.0
0.2107,0.067,0.7422,0.0,0.0
0.1653,0.0797,0.3383,0.5669781931464175,0.02903483116192502
0.0208,0.005,0.4133,0.0,0.0
0.1221,0.005,-0.0393,0.22291450328833506,0.011415403704688468
0.1094,0.205,0.3932,0.0,0.0
-0.1065,-0.005,0.4214,0.0,0.0
0.3119,0.0537,0.6047,0.9134648667358947,0.04677833909421252
0.3303,0.005,-0.404,0.0,0.0
-0.1602,0.005,-0.0694,0.0,0.0
0.1814,-0.005,0.6785,1.711318795430945,0.08763626695027917
-0.2483,-0.205,0.3442,0.0,0.0
-0.1824,0.0935,-0.0887,0.4551748009691935,0.023309403527430644
-0.3687,-0.005,0.5572,0.0,0.0
-0.6345,0.005,0.7233,0.0,0.0
-0.3109,0.1537,0.0975,0.0,0.0
0.0878,-0.0517,0.2445,0.4562132225683627,0.023362580873881055
0.208,0.093,-0.6456,0.5486327448944271,0.028095364707967738
-0.2082,-0.005,0.6024,0.0,0.0
-0.0038,-0.205,-0.0905,0.34440983039113876,0.017637153239386683
-0.0096,-0.205,0.209,0.0,0.0
0.0269,-0.205,-0.0248,0.0,0.0
0.4697,0.0684,-0.4604,0.0,0.0
-0.3708,0.215,0.4234,0.0,0.0
-0.6753,0.1043,0.3381,0.0,0.0
-0.569,0.205,0.5191,0.0,0.0
-0.1573,-0.205,0.4583,0.0,0.0
-0.0393,-0.005,-0.5531,0.0,0.0
-0.0422,0.205,0.0146,0.0,0.0
0.697,-0.1564,-0.1668,0.0,0.0
-0.6306,0.205,0.5794,0.0,0.0
-0.6145,0.2129,0.7557,0.0,0.0
0.1982,-0.005,0.4971,0.0,0.0
-0.1354,-0.205,-0.2107,0.0,0.0
0.747,-0.005,-0.2395,1.591208030460367,0.08148542054418151
0.2525,0.205,0.4961,0.0,0.0
0.1352,0.0392,-0.5489,0.0,0.0
-0.37,0.005,0.2188,0.0,0.0
0.3026,-0.005,-0.1863,0.0,0.0
-0.3723,0.205,0.3195,0.0,0.0
-0.1911,-0.205,0.3407,0.0,0.0
-0.5085,0.205,0.6049,0.0,0.0
0.1232,0.205,0.5792,0.0,0.0
-0.0969,-0.005,-0.3913,0.0,0.0
-0.477,-0.1787,0.4385,0.0,0.0
0.0048,0.005,0.0036,0.0,0.0
-0.0306,0.005,0.5863,0.0,0.0
0.3041,0.205,-0.3521,0.0,0.0
-0.1512,0.1022,0.7421,0.0,0.0
-0.2496,-0.205,0.3324,0.0,0.0
-0.0579,0.205,0.567,0.0,0.0
0.3738,-0.1969,-0.0131,0.0,0.0
-0.7552,0.005,0.5064,0.0,0.0
0.1004,0.005,-0.4454,0.0,0.0
-0.0406,0.205,0.1228,0.22914503288335064,0.01173446778339094
0.2607,0.005,-0.388,0.0,0.0
-0.3118,0.205,0.3599,0.0,0.0
-0.664,0.215,0.3807,0.0,0.0
-0.779,0.1772,0.6763,0.0,0.0
-0.1808,-0.005,0.1947,0.0,0.0
0.1999,0.205,-0.3764,0.0,0.0
0.2155,-0.1557,-0.092,0.0,0.0
-0.0329,0.215,0.4281,0.0,0.0
0.6119,0.005,0.0989,0.0,0.0
-0.101,0.005,0.0031,0.0,0.0
0.1457,-0.1603,0.0091,0.4551748009691935,0.023309403527430644
0.3309,0.215,-0.5439,3.7417791623399097,0.19161570504298497
0.2564,0.005,0.6368,0.0,0.0
-0.3885,-0.005,0.482,0.0,0.0
-0.1083,-0.205,-0.2076,0.0,0.0
-0.0537,-0.1612,-0.6619,0.0,0.0
0.1008,-0.005,-0.3652,0.0,0.0
0.0447,0.005,0.6748,0.0,0.0
-0.0372,-0.005,-0.0754,0.0,0.0
0.2546,0.205,0.3628,0.0,0.0
-0.2183,0.215,0.6793,0.0,0.0
-0.5128,0.205,0.4973,0.0,0.0
-0.4974,0.215,0.6585,0.0,0.0
-0.0101,0.215,0.4201,0.0,0.0
-0.779,-0.0048,0.3726,0.0,0.0
-0.5673,0.005,0.5245,0.0,0.0
0.5794,-0.005,0.0457,0.0,0.0
-0.1697,0.0137,-0.1072,0.0,0.0
-0.5484,0.1393,0.3382,1.2589131187262028,0.06446866968004962
-0.118,-0.1151,-0.5688,0.0,0.0
-0.3816,0.215,0.4046,0.0,0.0
-0.0185,0.005,0.5481,0.0,0.0
0.0353,-0.005,0.4799,0.0,0.0
0.297,0.205,-0.5545,0.5652474904811353,0.02894620225117433
0.0106,0.005,0.7213,0.0,0.0
0.0358,-0.005,0.6464,0.0,0.0
0.3954,0.205,-0.4463,0.0,0.0
0.5687,-0.205,-0.352,0.0,0.0
0.3942,-0.1552,0.0325,0.0,0.0
-0.3085,-0.005,0.674,0.0,0.0
0.5547,-0.205,-0.138,0.0,0.0
-0.2637,0.005,0.2323,0.0,0.0
0.1755,0.1499,0.3383,0.5669781931464175,0.02903483116192502
-0.2891,-0.005,0.6557,0.0,0.0
-0.6079,0.005,0.5015,0.0,0.0
-0.1098,0.005,0.6705,0.0,0.0
-0.185,-0.005,0.4437,0.0,0.0
0.5152,-0.005,-0.0047,0.0,0.0
-0.2698,0.005,0.1278,0.0,0.0
-0.071,-0.005,0.5522,0.0,0.0
0.6919,0.005,-0.0171,0.0,0.0
