x,y,z,SaliencyScore,Labels,EEGScore,NormalizedCombinedScore
-0.0954,0.0,-0.6046,0.0,[],0.0,0.0
0.21,-0.205,-0.0462,0.0,[],0.0,0.0
0.2337,0.1938,-0.2032,0.0,[],0.0,0.0
-0.1573,0.205,0.5026,0.0,[],0.0,0.0
-0.5022,0.215,0.1387,0.0,[],0.0,0.0
0.1123,0.205,-0.4577,0.0,[],0.0,0.0
-0.4728,0.0605,0.4557,4.122232142857143,"['Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention']",15.0,0.04349150630258986
0.0947,0.005,-0.2878,0.0,[],0.0,0.0
-0.5055,0.005,-0.4943,0.0,[],0.0,0.0
-0.5177,0.005,-0.114,0.0,[],0.0,0.0
-0.1707,-0.205,-0.3922,0.0,[],0.0,0.0
-0.0831,0.205,0.4258,0.0,[],0.0,0.0
-0.303,0.215,0.0173,0.0,[],0.0,0.0
0.1974,0.005,-0.4783,0.0,[],0.0,0.0
-0.148,0.215,-0.4314,0.0,[],0.0,0.0
-0.3209,-0.005,-0.4429,0.0,[],0.0,0.0
-0.0627,0.0759,-0.6046,0.0,[],0.0,0.0
-0.5594,0.005,-0.5389,0.0,[],0.0,0.0
0.059,-0.005,-0.2142,0.0,[],0.0,0.0
-0.3579,-0.0853,-0.2161,0.996875,"['Attention', 'Attention', 'Attention']",3.0,0.002103500911297259
-0.2092,-0.215,-0.2945,0.0,[],0.0,0.0
0.0546,-0.205,-0.5252,0.0,[],0.0,0.0
-0.133,0.005,-0.2061,1.33875,"['Attention', 'Attention', 'Attention', 'Attention']",4.0,0.003766519500103431
-0.0421,-0.005,0.0338,0.43500000000000005,"['Attention', 'Attention']",2.0,0.00061192753783193
-0.4794,-0.005,0.4658,0.23758928571428573,['Attention'],1.0,0.00016711198462343653
-0.1864,0.005,0.4312,0.0,[],0.0,0.0
-0.5477,0.205,0.1103,0.0,[],0.0,0.0
0.1032,-0.215,-0.3435,0.0,[],0.0,0.0
0.2708,0.005,-0.2096,1.7954464285714287,"['Attention', 'Attention', 'Attention', 'Attention']",4.0,0.0050514166084820525
-0.5837,0.1541,0.1685,0.0,[],0.0,0.0
-0.2029,0.1671,-0.1084,0.0,[],0.0,0.0
-0.3971,0.205,-0.1825,0.0,[],0.0,0.0
-0.0994,0.215,-0.2899,0.2175,['Attention'],1.0,0.00015298188445798247
-0.5837,0.0038,0.5283,1.1280357142857143,"['Attention', 'Attention', 'Attention']",3.0,0.002380262473204619
0.2284,0.005,-0.2048,0.0,[],0.0,0.0
0.2564,-0.151,0.1688,0.38205357142857144,['Attention'],1.0,0.0002687231049243461
0.1378,0.205,-0.4775,0.0,[],0.0,0.0
-0.4526,0.005,-0.3077,0.0,[],0.0,0.0
-0.2092,0.005,-0.2178,0.0,[],0.0,0.0
-0.0284,-0.215,0.0702,0.0,[],0.0,0.0
-0.0489,0.005,0.0408,0.8154464285714285,"['Attention', 'Attention', 'Attention']",3.0,0.001720669397481224
-0.5327,-0.205,-0.3546,0.0,[],0.0,0.0
-0.3019,-0.005,-0.527,0.0,[],0.0,0.0
0.3586,0.205,-0.477,0.0,[],0.0,0.0
0.2577,0.1244,-0.6046,3.446428571428571,"['Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention']",10.0,0.024240971839401163
0.0664,-0.215,0.0325,0.3732142857142857,['Attention'],1.0,0.0002625058608515463
-0.0604,-0.1753,0.1688,0.38285714285714284,['Attention'],1.0,0.0002692883089309642
0.0136,0.005,-0.2168,0.0,[],0.0,0.0
0.0743,0.215,-0.4663,0.0,[],0.0,0.0
