x,y,z,SaliencyScore,NormalizedScore,Labels,EEGScore,NormalizedEEG,NormalizedCombinedScore
0.7399,-0.1327,0.4477,0.0,0.0,[],0.0,0.0,0.0
-0.3832,-0.1994,-0.5542,0.0,0.0,[],0.0,0.0,0.0
-0.001,-0.0475,-0.0146,0.0,0.0,[],0.0,0.0,0.0
-0.1119,-0.1026,0.2271,0.0,0.0,[],0.0,0.0,0.0
0.1681,-0.0399,-0.3909,1.0519354838709678,0.0914264887293933,"['Rejection', 'Attention', 'Rejection', 'Rejection']",-2.0,-0.05263157894736842,-0.005297270955165693
0.6843,-0.1994,0.1754,0.0,0.0,[],0.0,0.0,0.0
-0.3611,0.1794,-0.1301,0.0,0.0,[],0.0,0.0,0.0
-0.1606,-0.1994,0.1027,0.0,0.0,[],0.0,0.0,0.0
0.4582,0.0891,0.0609,0.6263440860215054,0.05443721730028784,"['Rejection', 'Rejection']",-2.0,-0.05263157894736842,-0.003154104396794456
0.0564,0.0758,-0.2427,0.0,0.0,[],0.0,0.0,0.0
0.1161,-0.1951,-0.2617,0.5574193548387096,0.048446787035998654,"['Rejection', 'Rejection']",-2.0,-0.05263157894736842,-0.0028070175438596493
-0.4012,-0.1096,0.7019,0.0,0.0,[],0.0,0.0,0.0
-0.1661,-0.1991,-0.6063,0.0,0.0,[],0.0,0.0,0.0
-0.4096,0.0006,0.1804,0.0,0.0,[],0.0,0.0,0.0
0.0209,-0.0907,0.2521,1.1078494623655915,0.09628612014504132,"['Rejection', 'Attention', 'Attention']",1.0,0.07692307692307693,0.011099691453787017
0.2859,0.0179,-0.4326,0.0,0.0,[],0.0,0.0,0.0
-0.1845,-0.1994,-0.4207,0.0,0.0,[],0.0,0.0,0.0
-0.6056,0.0006,0.4764,0.47344086021505377,0.04114799446749654,"['Rejection', 'Rejection']",-2.0,-0.05263157894736842,-0.0023841238899718438
0.5453,-0.0094,0.46,0.0,0.0,[],0.0,0.0,0.0
0.7087,-0.1994,0.4344,0.0,0.0,[],0.0,0.0,0.0
-0.1086,-0.1173,-0.6009,0.0,0.0,[],0.0,0.0,0.0
0.3212,-0.092,0.0273,0.0,0.0,[],0.0,0.0,0.0
0.4581,-0.1994,-0.3852,0.0,0.0,[],0.0,0.0,0.0
0.3441,-0.149,0.4714,0.0,0.0,[],0.0,0.0,0.0
-0.5804,-0.0763,0.6849,0.0,0.0,[],0.0,0.0,0.0
0.2932,-0.0471,-0.1092,0.0,0.0,[],0.0,0.0,0.0
-0.072,0.2006,-0.1614,0.0,0.0,[],0.0,0.0,0.0
-0.5384,0.1706,-0.1567,0.0,0.0,[],0.0,0.0,0.0
-0.4509,0.1986,0.3,0.0,0.0,[],0.0,0.0,0.0
-0.5895,0.0006,0.2438,0.0,0.0,[],0.0,0.0,0.0
-0.5824,-0.166,0.077,0.0,0.0,[],0.0,0.0,0.0
-0.304,0.0006,0.1779,0.0,0.0,[],0.0,0.0,0.0
0.5921,-0.0027,0.5588,1.3858064516129032,0.12044409554782998,"['Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection']",-5.0,-0.13157894736842105,-0.017446393762183238
-0.1725,0.0006,0.1277,0.0,0.0,[],0.0,0.0,0.0
0.5379,-0.1012,0.2944,0.0,0.0,[],0.0,0.0,0.0
0.1304,0.1179,0.241,0.0,0.0,[],0.0,0.0,0.0
0.3144,-0.1994,-0.3876,0.0,0.0,[],0.0,0.0,0.0
-0.2017,-0.1994,-0.4071,0.0,0.0,[],0.0,0.0,0.0
-0.5481,-0.0729,-0.2831,0.0,0.0,[],0.0,0.0,0.0
-0.2725,-0.0887,0.7142,0.0,0.0,[],0.0,0.0,0.0
0.7368,-0.096,0.3654,0.0,0.0,[],0.0,0.0,0.0
-0.753,0.199,-0.1559,0.0,0.0,[],0.0,0.0,0.0
-0.1252,0.0006,0.3503,0.3233333333333333,0.028101753205487644,['Rejection'],-1.0,-0.02631578947368421,-0.0008141108945202512
-0.3286,-0.1994,-0.0397,0.0,0.0,[],0.0,0.0,0.0
-0.1078,-0.185,0.1843,0.0,0.0,[],0.0,0.0,0.0
0.6762,-0.1994,0.3769,0.0,0.0,[],0.0,0.0,0.0
0.4406,-0.0047,0.4617,0.32182795698924727,0.02797091697506635,['Rejection'],-1.0,-0.02631578947368421,-0.0008103205544726013
0.4446,-0.0967,-0.6438,0.0,0.0,[],0.0,0.0,0.0
-0.0707,-0.1594,-0.2059,0.0,0.0,[],0.0,0.0,0.0
-0.0469,-0.1994,-0.5536,0.0,0.0,[],0.0,0.0,0.0
-0.0435,-0.1164,-0.4916,0.0,0.0,[],0.0,0.0,0.0
0.5509,-0.1994,0.2358,0.0,0.0,[],0.0,0.0,0.0
-0.3997,-0.1994,0.1477,0.0,0.0,[],0.0,0.0,0.0
0.7444,-0.136,0.44,0.0,0.0,[],0.0,0.0,0.0
-0.6017,-0.1661,0.2798,0.23559139784946234,0.0204758700609323,['Rejection'],-1.0,-0.02631578947368421,-0.0005931882174572234
-0.0689,-0.106,-0.2247,0.32182795698924727,0.02797091697506635,['Rejection'],-1.0,-0.02631578947368421,-0.0008103205544726013
-0.5778,-0.1994,0.6513,0.0,0.0,[],0.0,0.0,0.0
0.4716,0.159,0.1926,0.0,0.0,[],0.0,0.0,0.0
-0.3477,-0.0548,0.707,0.0,0.0,[],0.0,0.0,0.0
-0.1594,-0.0741,-0.1658,0.0,0.0,[],0.0,0.0,0.0
0.3457,-0.0492,0.0938,0.0,0.0,[],0.0,0.0,0.0
-0.3962,0.0006,-0.4864,0.0,0.0,[],0.0,0.0,0.0
-0.5458,-0.0228,-0.308,0.0,0.0,[],0.0,0.0,0.0
-0.3307,-0.1994,-0.2074,0.0,0.0,[],0.0,0.0,0.0
-0.2184,-0.1994,0.1386,0.0,0.0,[],0.0,0.0,0.0
0.7411,-0.0112,0.4078,0.0,0.0,[],0.0,0.0,0.0
-0.1432,-0.1994,0.2736,0.0,0.0,[],0.0,0.0,0.0
0.4635,-0.0397,0.1127,0.0,0.0,[],0.0,0.0,0.0
-0.5417,-0.014,-0.3505,0.0,0.0,[],0.0,0.0,0.0
-0.4691,-0.1994,0.3008,0.0,0.0,[],0.0,0.0,0.0
0.4283,0.1718,-0.2344,0.0,0.0,[],0.0,0.0,0.0
-0.2295,0.0006,0.6643,0.0,0.0,[],0.0,0.0,0.0
-0.0942,0.0083,0.2638,0.0,0.0,[],0.0,0.0,0.0
-0.3536,-0.1994,-0.6125,0.0,0.0,[],0.0,0.0,0.0
0.6503,0.1006,-0.4439,0.0,0.0,[],0.0,0.0,0.0
0.335,-0.0809,-0.2944,0.0,0.0,[],0.0,0.0,0.0
-0.1581,-0.156,-0.1532,0.0,0.0,[],0.0,0.0,0.0
-0.1899,0.2006,-0.062,0.0,0.0,[],0.0,0.0,0.0
0.1676,0.2006,-0.1108,0.0,0.0,[],0.0,0.0,0.0
-0.0835,-0.0444,-0.0709,0.0,0.0,[],0.0,0.0,0.0
-0.2866,-0.1994,-0.1109,0.0,0.0,[],0.0,0.0,0.0
0.0068,0.0523,-0.0433,0.0,0.0,[],0.0,0.0,0.0
-0.3357,0.1721,0.1206,0.5581720430107526,0.0485122051512093,"['Rejection', 'Rejection']",-2.0,-0.05263157894736842,-0.002810807883907299
-0.1161,-0.1994,0.1649,0.0,0.0,[],0.0,0.0,0.0
-0.6368,-0.0836,0.6484,0.0,0.0,[],0.0,0.0,0.0
-0.0312,-0.1994,-0.0952,0.0,0.0,[],0.0,0.0,0.0
-0.0743,-0.1004,-0.1681,0.0,0.0,[],0.0,0.0,0.0
-0.162,0.1967,-0.192,0.0,0.0,[],0.0,0.0,0.0
0.2879,-0.1022,-0.3375,0.0,0.0,[],0.0,0.0,0.0
-0.563,-0.155,-0.1271,0.0,0.0,[],0.0,0.0,0.0
-0.3205,-0.1994,0.5853,0.0,0.0,[],0.0,0.0,0.0
-0.0424,-0.0302,0.0856,0.0,0.0,[],0.0,0.0,0.0
-0.4474,0.2006,0.2613,0.0,0.0,[],0.0,0.0,0.0
-0.108,-0.1496,0.1862,0.0,0.0,[],0.0,0.0,0.0
0.0408,-0.1994,-0.1261,0.0,0.0,[],0.0,0.0,0.0
-0.2209,-0.1994,-0.483,0.0,0.0,[],0.0,0.0,0.0
0.093,0.1538,0.2448,0.0,0.0,[],0.0,0.0,0.0
-0.1047,0.2006,0.1589,0.0,0.0,[],0.0,0.0,0.0
0.1662,-0.1944,0.1133,0.0,0.0,[],0.0,0.0,0.0
-0.251,-0.1994,-0.5641,0.0,0.0,[],0.0,0.0,0.0
0.1655,-0.1459,-0.4183,0.0,0.0,[],0.0,0.0,0.0
-0.0518,-0.0375,-0.2195,0.0,0.0,[],0.0,0.0,0.0
-0.2769,0.2006,-0.0691,2.0746236559139786,0.1803110164106015,"['Attention', 'Rejection', 'Rejection', 'Attention', 'Attention', 'Attention', 'Rejection']",1.0,0.07692307692307693,0.020785930982176716
0.3113,0.1006,-0.6608,0.0,0.0,[],0.0,0.0,0.0
-0.1613,0.1706,0.0884,0.0,0.0,[],0.0,0.0,0.0
0.397,0.1006,-0.1914,0.0,0.0,[],0.0,0.0,0.0
-0.2916,-0.1994,0.3986,0.0,0.0,[],0.0,0.0,0.0
0.1514,0.0901,-0.567,0.0,0.0,[],0.0,0.0,0.0
-0.231,0.0006,0.2392,0.0,0.0,[],0.0,0.0,0.0
-0.1251,-0.0264,0.3653,0.8261290322580644,0.07180105416619939,"['Rejection', 'Rejection', 'Rejection']",-3.0,-0.07894736842105263,-0.006240253411306043
0.7418,-0.1575,0.4148,0.0,0.0,[],0.0,0.0,0.0
-0.0786,-0.0261,-0.1496,0.0,0.0,[],0.0,0.0,0.0
-0.5565,0.1968,0.2604,0.0,0.0,[],0.0,0.0,0.0
0.4068,-0.1673,-0.0409,0.0,0.0,[],0.0,0.0,0.0
-0.0959,-0.1473,0.0586,0.0,0.0,[],0.0,0.0,0.0
0.6827,0.0959,-0.1751,0.0,0.0,[],0.0,0.0,0.0
-0.1169,-0.1994,0.2264,0.0,0.0,[],0.0,0.0,0.0
0.3817,-0.076,-0.0365,0.0,0.0,[],0.0,0.0,0.0
0.5181,0.1006,-0.4876,0.0,0.0,[],0.0,0.0,0.0
-0.3139,0.1706,-0.0248,0.0,0.0,[],0.0,0.0,0.0
0.4308,0.1006,-0.2538,0.0,0.0,[],0.0,0.0,0.0
-0.1486,-0.0677,-0.0598,0.0,0.0,[],0.0,0.0,0.0
0.356,-0.0191,-0.3329,0.0,0.0,[],0.0,0.0,0.0
-0.3241,0.0006,-0.3159,4.888709677419354,0.4248906582931478,"['Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Attention', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection']",-16.0,-0.42105263157894735,-0.19694606887589342
0.3174,-0.1994,0.1874,0.0,0.0,[],0.0,0.0,0.0
0.6497,0.0304,-0.5212,0.0,0.0,[],0.0,0.0,0.0
0.6505,-0.1994,-0.4261,0.0,0.0,[],0.0,0.0,0.0
0.1612,-0.068,0.0641,0.0,0.0,[],0.0,0.0,0.0
0.36,-0.1994,-0.4404,0.0,0.0,[],0.0,0.0,0.0
