x,y,z,SaliencyScore,Labels,EEGScore,NormalizedCombinedScore
0.4579,0.2296,0.5927,0.0,[],0.0,0.0
-0.2868,0.0744,0.3889,0.0,[],0.0,0.0
-0.1119,0.4104,-0.7419,0.0,[],0.0,0.0
-0.2939,0.2744,0.1422,0.0,[],0.0,0.0
-0.2289,0.0744,-0.1316,0.0,[],0.0,0.0
-0.5273,0.296,-0.0266,0.0,[],0.0,0.0
0.0201,0.2744,0.4439,0.0,[],0.0,0.0
-0.4305,0.0744,0.3292,1.315055988315482,"['Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection']",-5.0,-0.12822123395104804
-0.1616,0.0744,0.3029,0.0,[],0.0,0.0
-0.1972,0.3244,0.0811,0.0,[],0.0,0.0
-0.1882,0.3244,-0.1446,0.0,[],0.0,0.0
-0.058,0.5504,0.4231,0.0,[],0.0,0.0
-0.3157,0.2744,-0.0091,0.0,[],0.0,0.0
-0.0744,0.5244,0.2033,0.0,[],0.0,0.0
0.1681,0.0444,0.4243,0.0,[],0.0,0.0
-0.502,0.0444,-0.5279,0.0,[],0.0,0.0
-0.1566,0.5244,-0.7263,0.0,[],0.0,0.0
0.1705,0.2744,0.5039,0.0,[],0.0,0.0
-0.1573,0.0444,-0.2544,0.0,[],0.0,0.0
-0.2534,0.5244,-0.1826,0.0,[],0.0,0.0
-0.4917,0.3244,-0.4086,0.0,[],0.0,0.0
0.0884,0.0744,0.0212,0.0,[],0.0,0.0
-0.3885,0.0744,0.0892,0.0,[],0.0,0.0
0.4886,0.0444,-0.262,0.0,[],0.0,0.0
-0.4416,0.2744,0.4179,0.0,[],0.0,0.0
-0.278,0.5244,-0.3585,0.0,[],0.0,0.0
0.1632,0.057,-0.0863,0.0,[],0.0,0.0
0.3106,0.0444,0.271,0.0,[],0.0,0.0
-0.1157,0.2744,-0.1175,0.0,[],0.0,0.0
-0.1906,0.2744,-0.4528,0.0,[],0.0,0.0
-0.1676,0.5544,0.3287,0.0,[],0.0,0.0
-0.2479,0.5244,-0.0553,0.0,[],0.0,0.0
0.6414,0.0703,0.3627,0.0,[],0.0,0.0
-0.1668,0.4926,-0.7419,0.0,[],0.0,0.0
-0.0517,0.0444,-0.2605,0.0,[],0.0,0.0
0.6312,0.0744,-0.411,0.0,[],0.0,0.0
-0.1585,0.2335,-0.5288,1.315864515231604,"['Attention', 'Attention', 'Attention', 'Attention', 'Attention']",5.0,0.008921481975595566
-0.0067,0.2356,0.3889,0.0,[],0.0,0.0
-0.487,0.4595,0.3937,0.0,[],0.0,0.0
-0.0915,0.3971,-0.6005,1.0642735429127836,"['Attention', 'Attention', 'Attention', 'Attention', 'Attention']",5.0,0.0072157103716171305
-0.5273,0.5372,0.0013,0.0,[],0.0,0.0
-0.3084,0.3244,-0.6178,0.0,[],0.0,0.0
-0.1114,0.5244,-0.0988,0.0,[],0.0,0.0
-0.3968,0.5544,-0.4863,0.0,[],0.0,0.0
-0.2893,0.5244,-0.3842,0.0,[],0.0,0.0
-0.3686,0.5244,-0.1808,0.0,[],0.0,0.0
0.2917,0.0621,-0.5288,0.0,[],0.0,0.0
0.0619,0.0744,0.525,0.0,[],0.0,0.0
-0.5273,0.1427,-0.0251,0.0,[],0.0,0.0
-0.2724,0.0744,-0.0111,0.0,[],0.0,0.0
-0.2997,0.5244,0.2518,0.0,[],0.0,0.0
-0.1708,0.3247,-0.0741,0.3751564890805398,"['Attention', 'Attention']",2.0,0.0010174153392291019
-0.1384,0.5544,-0.7299,0.0,[],0.0,0.0
-0.5136,0.0444,-0.2807,0.0,[],0.0,0.0
-0.4777,0.3244,0.3825,0.0,[],0.0,0.0
-0.5273,0.1125,-0.4655,0.0,[],0.0,0.0
0.21,0.0744,0.5578,0.0,[],0.0,0.0
-0.3078,0.5544,-0.6874,0.0,[],0.0,0.0
0.4307,0.0444,0.292,0.0,[],0.0,0.0
0.6414,0.0543,-0.4244,0.0,[],0.0,0.0
0.3065,0.0444,0.5526,0.0,[],0.0,0.0
-0.1124,0.0744,-0.1469,0.0,[],0.0,0.0
-0.5273,0.1775,-0.4239,0.0,[],0.0,0.0
-0.5045,0.5544,-0.7253,0.0,[],0.0,0.0
0.3183,0.2744,0.5612,0.0,[],0.0,0.0
0.4384,0.0444,0.5949,0.0,[],0.0,0.0
0.3255,0.0444,0.2139,0.18763040756711644,['Attention'],1.0,0.0002544245672418715
0.6409,0.2744,0.4769,0.0,[],0.0,0.0
-0.0646,0.442,-0.7143,0.0,[],0.0,0.0
0.3022,0.3244,0.3796,0.0,[],0.0,0.0
-0.4269,0.5544,0.1377,0.0,[],0.0,0.0
-0.1142,0.0444,-0.3067,0.0,[],0.0,0.0
-0.0901,0.5244,0.1824,0.0,[],0.0,0.0
-0.1796,0.0444,0.1259,0.0,[],0.0,0.0
-0.2164,0.0744,0.033,0.0,[],0.0,0.0
-0.3002,0.2744,0.5129,0.0,[],0.0,0.0
-0.3827,0.3244,-0.2797,0.0,[],0.0,0.0
-0.1708,0.3692,-0.0176,0.18830852691612185,['Attention'],1.0,0.00025534408889161966
-0.366,0.0744,0.3943,0.0,[],0.0,0.0
-0.2355,0.0744,0.1017,0.0,[],0.0,0.0
0.0595,0.2777,0.0962,0.1875521630268466,['Rejection'],-1.0,-0.003657360597140027
0.2136,0.0444,-0.3607,0.0,[],0.0,0.0
-0.4332,0.3244,-0.0066,0.0,[],0.0,0.0
0.4649,0.2744,0.4701,0.0,[],0.0,0.0
-0.303,0.5244,0.1105,0.0,[],0.0,0.0
-0.1529,0.1521,0.2518,0.6266952983725136,"['Rejection', 'Rejection']",-2.0,-0.024441740939585482
0.1087,0.2744,0.4906,0.0,[],0.0,0.0
-0.4576,0.5244,-0.5109,0.0,[],0.0,0.0
0.5683,0.0744,0.3028,0.0,[],0.0,0.0
-0.3786,0.0444,0.0319,0.0,[],0.0,0.0
-0.3811,0.5544,0.5298,0.0,[],0.0,0.0
-0.4641,0.2744,-0.5523,0.0,[],0.0,0.0
0.3469,0.2744,0.4871,0.0,[],0.0,0.0
-0.1461,0.3244,-0.6479,0.0,[],0.0,0.0
-0.5273,0.0639,-0.2597,0.0,[],0.0,0.0
0.2868,0.0744,-0.0893,0.0,[],0.0,0.0
0.386,0.0444,-0.2936,0.0,[],0.0,0.0
0.597,0.2744,0.5355,0.0,[],0.0,0.0
-0.4416,0.0744,0.1667,0.0,[],0.0,0.0
-0.2525,0.3244,-0.1207,0.0,[],0.0,0.0
0.2409,0.2895,0.0962,0.0,[],0.0,0.0
-0.4621,0.5244,-0.0401,0.0,[],0.0,0.0
-0.2286,0.0444,-0.3528,0.0,[],0.0,0.0
-0.2846,0.0744,0.2158,0.0,[],0.0,0.0
-0.3937,0.5244,-0.0027,0.0,[],0.0,0.0
-0.4316,0.2744,0.1074,0.0,[],0.0,0.0
-0.4695,0.3701,0.3937,0.0,[],0.0,0.0
-0.4255,0.0744,-0.5025,0.0,[],0.0,0.0
0.5994,0.0444,-0.3385,0.0,[],0.0,0.0
0.1997,0.0744,0.146,0.0,[],0.0,0.0
-0.4066,0.3244,0.0267,0.0,[],0.0,0.0
-0.3,0.5244,0.3631,0.0,[],0.0,0.0
-0.3273,0.2744,0.216,0.0,[],0.0,0.0
-0.2284,0.0444,-0.3084,0.0,[],0.0,0.0
-0.1167,0.5244,-0.2198,0.0,[],0.0,0.0
0.0646,0.0744,-0.4212,0.0,[],0.0,0.0
0.2381,0.18,0.6027,0.0,[],0.0,0.0
-0.1092,0.3613,-0.526,0.0,[],0.0,0.0
-0.1422,0.1779,0.0915,1.3149255807483655,"['Attention', 'Attention', 'Attention', 'Attention', 'Attention']",5.0,0.008915116056481922
0.6128,0.0444,-0.1955,0.0,[],0.0,0.0
-0.391,0.5244,0.2618,0.0,[],0.0,0.0
0.6267,0.0744,0.2662,0.0,[],0.0,0.0
-0.4715,0.0444,-0.2493,0.0,[],0.0,0.0
0.2893,0.0444,-0.0224,0.0,[],0.0,0.0
-0.3595,0.2744,-0.1176,0.0,[],0.0,0.0
0.0558,0.0444,-0.49,0.0,[],0.0,0.0
-0.4772,0.2744,0.5978,0.0,[],0.0,0.0
-0.5198,0.5244,0.3893,0.0,[],0.0,0.0
-0.0834,0.4103,-0.635,0.0,[],0.0,0.0
0.45,0.2744,0.4597,0.0,[],0.0,0.0
0.6414,0.303,0.578,0.0,[],0.0,0.0
-0.3895,0.5244,0.4277,0.0,[],0.0,0.0
0.4804,0.3244,0.5859,0.0,[],0.0,0.0
-0.2029,0.5544,-0.3898,0.0,[],0.0,0.0
-0.5181,0.5507,0.6027,0.0,[],0.0,0.0
-0.5225,0.5544,-0.4036,0.0,[],0.0,0.0
-0.0906,0.0744,-0.0308,0.0,[],0.0,0.0
0.2252,0.0444,-0.1326,0.0,[],0.0,0.0
-0.1989,0.2744,-0.6678,0.0,[],0.0,0.0
0.0669,0.2744,0.4593,0.0,[],0.0,0.0
-0.4355,0.5244,-0.5888,0.0,[],0.0,0.0
-0.2223,0.0444,-0.0515,0.0,[],0.0,0.0
-0.3246,0.2849,0.6027,0.0,[],0.0,0.0
-0.3433,0.5544,-0.0771,0.0,[],0.0,0.0
-0.1793,0.5244,-0.1195,0.0,[],0.0,0.0
-0.2907,0.5244,-0.4283,0.0,[],0.0,0.0
-0.0974,0.5544,0.4717,0.0,[],0.0,0.0
-0.3545,0.4653,0.3937,0.0,[],0.0,0.0
0.487,0.2787,0.3015,0.0,[],0.0,0.0
-0.4706,0.5244,-0.3801,0.0,[],0.0,0.0
0.6414,0.0534,0.5501,0.0,[],0.0,0.0
-0.4534,0.3244,0.3804,0.0,[],0.0,0.0
-0.3016,0.0744,-0.4263,0.0,[],0.0,0.0
-0.0954,0.0744,0.1757,1.2522951731812493,"['Attention', 'Attention', 'Rejection', 'Attention']",2.0,0.0033961942696495353
0.3114,0.2555,0.6027,0.0,[],0.0,0.0
-0.0011,0.0744,0.2201,0.0,[],0.0,0.0
0.0147,0.0744,-0.4591,0.0,[],0.0,0.0
-0.4465,0.5244,0.1227,0.0,[],0.0,0.0
0.5015,0.0444,0.4241,0.1875521630268466,['Attention'],1.0,0.00025431846858997744
0.4965,0.0788,0.6027,0.0,[],0.0,0.0
0.5901,0.2977,0.3015,0.0,[],0.0,0.0
-0.2876,0.1113,0.6027,0.0,[],0.0,0.0
-0.3039,0.3693,0.3937,0.0,[],0.0,0.0
0.5817,0.0744,-0.2546,0.0,[],0.0,0.0
0.3545,0.0744,-0.2038,0.0,[],0.0,0.0
-0.1674,0.5544,0.5179,0.0,[],0.0,0.0
-0.1712,0.5544,-0.4295,0.0,[],0.0,0.0
0.3603,0.0744,0.1853,0.18820420086242873,['Attention'],1.0,0.00025520262402242764
-0.2542,0.0744,-0.4516,0.0,[],0.0,0.0
-0.2514,0.0744,0.0595,0.0,[],0.0,0.0
-0.4856,0.3244,-0.6662,0.0,[],0.0,0.0
-0.1708,0.4546,0.2771,0.0,[],0.0,0.0
-0.5273,0.2537,0.2418,0.0,[],0.0,0.0
-0.241,0.3244,-0.5992,0.0,[],0.0,0.0
0.3738,0.055,0.0498,0.0,[],0.0,0.0
0.3618,0.0444,-0.3556,0.0,[],0.0,0.0
-0.1275,0.0744,-0.2474,0.0,[],0.0,0.0
-0.1374,0.0444,-0.1432,0.0,[],0.0,0.0
-0.2705,0.0554,0.6027,0.0,[],0.0,0.0
-0.2722,0.0744,0.5412,0.0,[],0.0,0.0
-0.1863,0.4021,0.3937,0.0,[],0.0,0.0
-0.3127,0.5544,0.1118,0.0,[],0.0,0.0
-0.4704,0.0444,-0.4035,0.0,[],0.0,0.0
0.5137,0.2841,0.1416,0.0,[],0.0,0.0
-0.397,0.2744,0.2959,0.0,[],0.0,0.0
-0.5163,0.0444,0.3648,0.0,[],0.0,0.0
-0.5273,0.3922,-0.1354,0.0,[],0.0,0.0
0.1003,0.3244,0.5884,0.0,[],0.0,0.0
-0.1483,0.0744,0.4149,0.0,[],0.0,0.0
0.6372,0.0744,0.4297,0.0,[],0.0,0.0
-0.169,0.3244,-0.6256,0.0,[],0.0,0.0
0.253,0.0692,-0.0863,0.0,[],0.0,0.0
-0.1137,0.5544,0.2982,0.0,[],0.0,0.0
