x,y,z,SaliencyScore,Labels,EEGScore,NormalizedCombinedScore
-0.6335,-0.21,-0.2253,0.0,[],0.0,0.0
-0.5014,-0.22,0.5062,0.0,[],0.0,0.0
0.4046,-0.01,-0.5242,0.0,[],0.0,0.0
0.6318,-0.22,0.0237,0.0,[],0.0,0.0
0.4266,-0.01,-0.1631,0.358974358974359,['Attention'],1.0,0.000851883778713047
0.5901,-0.01,0.0941,0.0,[],0.0,0.0
-0.0844,0.2019,-0.4743,0.0,[],0.0,0.0
0.6408,-0.22,0.453,0.0,[],0.0,0.0
0.3196,-0.1762,-0.3891,0.0,[],0.0,0.0
-0.4714,0.21,0.1634,0.0,[],0.0,0.0
0.3726,-0.22,-0.0301,0.5712250712250713,"['Attention', 'Attention']",2.0,0.0027111539306661258
-0.6446,0.0472,0.17,0.0,[],0.0,0.0
0.1415,-0.01,-0.3094,0.0,[],0.0,0.0
-0.4925,0.21,-0.6019,0.0,[],0.0,0.0
-0.093,-0.0973,-0.67,0.0,[],0.0,0.0
-0.1689,-0.21,-0.3329,0.0,[],0.0,0.0
-0.3273,0.01,-0.0955,0.0,[],0.0,0.0
-0.0676,-0.21,-0.6323,0.0,[],0.0,0.0
0.3896,-0.182,-0.17,0.0,[],0.0,0.0
0.4696,-0.1611,-0.17,0.0,[],0.0,0.0
0.5476,0.0,0.1882,0.0,[],0.0,0.0
-0.3744,-0.21,0.4184,0.0,[],0.0,0.0
0.664,-0.1331,-0.17,0.0,[],0.0,0.0
-0.4404,-0.22,0.1514,0.0,[],0.0,0.0
0.5278,-0.0001,-0.17,0.0,[],0.0,0.0
0.5528,-0.01,0.4343,2.3675213675213675,"['Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention']",7.0,0.03932863445058566
0.3322,-0.22,0.2087,0.0,[],0.0,0.0
0.5149,-0.22,-0.0622,0.0,[],0.0,0.0
0.303,-0.03,0.1347,0.0,[],0.0,0.0
-0.214,0.22,-0.1325,0.5854700854700855,"['Attention', 'Attention']",2.0,0.0027787637543735103
-0.6915,-0.2083,-0.099,0.0,[],0.0,0.0
-0.5318,0.0,0.4974,0.0,[],0.0,0.0
-0.4233,-0.22,0.1917,0.0,[],0.0,0.0
0.1081,-0.21,-0.5999,0.0,[],0.0,0.0
-0.3787,-0.21,0.0306,0.0,[],0.0,0.0
-0.3029,0.0,0.1157,3.945156695156695,"['Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention']",14.0,0.1310717847303213
-0.4157,0.21,-0.5167,0.0,[],0.0,0.0
0.4074,-0.22,0.3542,0.0,[],0.0,0.0
-0.3352,0.0,0.1864,0.0,[],0.0,0.0
-0.0795,0.22,-0.4972,0.0,[],0.0,0.0
0.5266,-0.22,0.0763,0.3582621082621083,['Attention'],1.0,0.0008501935331203624
0.3137,-0.0092,0.67,0.358974358974359,['Attention'],1.0,0.000851883778713047
-0.6815,-0.1345,0.3992,0.0,[],0.0,0.0
0.3451,-0.0423,0.67,0.0,[],0.0,0.0
-0.209,0.22,-0.6519,0.0,[],0.0,0.0
-0.4868,-0.22,-0.1225,0.0,[],0.0,0.0
-0.2815,-0.21,-0.2897,0.0,[],0.0,0.0
-0.4934,0.01,0.1212,0.0,[],0.0,0.0
-0.614,0.0495,-0.67,0.0,[],0.0,0.0
-0.5275,0.0,0.4181,0.0,[],0.0,0.0
-0.5801,0.01,-0.5421,0.0,[],0.0,0.0
